,_id,Datetime,Tweet Id,Text,Username
115,641e939aaf9b5844fe895ace,1678774838000,1635526328853344256,@sardesairajdeep Adjournment motion was brought in by opposition. They want to stall the parliament from functioning. Supreme Court has already constituted a team to look into the investigation. What more is required for a conspiracy by Hindenberg? Which company is like a holy cow? None,urs_shaan
116,641e939aaf9b5844fe895acf,1678774097000,1635523224766394368,"@Reuters Mad man of india is silent about it who was outspoken about liar corrupt hindenberg report, where is ideot criminal soros",SaloniG83528096
117,641e939aaf9b5844fe895ad0,1678774025000,1635522920104730625,@oneofthelasttry Hindenberg ke samne se do bank gaya tel lene,Raamchanddrarao
118,641e939aaf9b5844fe895ad1,1678773982000,1635522740148133896,"You filed a petition in the Supreme Court and sought SC judge monitored enquiry against #Adani on the basis of #Hindenberg report..Supreme Court constituted a committee as sought by you..SC has given 2 months to both, the said Committee as well as the #SEBI to complete the…",JMehta65
119,641e939aaf9b5844fe895ad2,1678773103000,1635519055150088194,Shortseller market player #Hindenberg analysis needs #JPC. What does a damning report by a reputed international body #FATF report on #PriyankaVadra #Rana money laundering scam need? I am surprised at a mild reaction to FATF report 😊,RatanSharda55
120,641e939aaf9b5844fe895ad3,1678772399000,1635516101827366919,"Current situation of regional banks in US

@HindenburgRes please research all this company and public your reports like adani reports and say hold sell positions or not

Why targeting India @HindenburgRes ?

West propaganda expose

#Bankcollapse #bank #hindenberg #bankcrisis https://t.co/z0M0Yms638",hexocharlie
121,641e939aaf9b5844fe895ad4,1678772108000,1635514878587994113,"Congress MPs protesting in Parliament demanding JPC probe on Hindenberg report
@kcvenugopalmp
@NasirHussainINC @AdvJebiMather @shaktisinhgohil https://t.co/2vi3yWZbix",NiyamikaS
122,641e939aaf9b5844fe895ad5,1678772001000,1635514431508746241,Opposition parties are unnecessarily wasting time and energy in Adani issue where the hindenburg research report failed to report the SVB failure. They are piggybacking on hindenberg report on Adani crisis. The parliament time is being wasted when SC is seized of the matter,CVSPRAKASH4
123,641e939aaf9b5844fe895ad6,1678771796000,1635513572309749760,"@pkverma1970 @pbhushan1 There is no scam and absolutely no losses...Every big enterprise in the world like google,apple,amazon have faced similar charges of manipulation  that resulted in short term selling of stocks..These are headwinds only and Hindenberg like vultures wud try to feast on it",Rajat27336576
124,641e939aaf9b5844fe895ad7,1678771497000,1635512315574652929,"@pbhushan1 दादा...रोज hindenberg को क्यू प्रधान्य देते हो
US मॉडल की क्या हाल है..तीन चार बैंक डूब गए
कभी अपने देश की अच्छी सिस्टम पर गौर करो
आपको हर चीज गलत क्यू लगती है
आज इंडिया जो पोजीशन में है वो प्रससनीय है
वरना आप तो क्राइसिस को पसंद करते हो",PiyushP20059070
